# Generated from atlas label .xml files distributed with FSL
# http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/
276,Right Cerebrum.Temporal Lobe.Superior Temporal Gyrus.Gray Matter.Brodmann area 21
277,Left Cerebrum.Frontal Lobe.Subcallosal Gyrus.*.*
278,Right Cerebrum.Frontal Lobe.Subcallosal Gyrus.*.*
279,Left Cerebrum.Limbic Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 34
280,Left Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 34
281,Left Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 25
282,Right Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 25
283,Right Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 34
284,Right Cerebrum.Limbic Lobe.Subcallosal Gyrus.*.*
285,Right Cerebrum.Limbic Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 34
286,Left Cerebrum.Temporal Lobe.Superior Temporal Gyrus.Gray Matter.Brodmann area 21
287,Left Cerebrum.Temporal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 34
288,Left Cerebrum.Temporal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 13
289,Left Cerebrum.Temporal Lobe.Inferior Frontal Gyrus.White Matter.*
290,Left Cerebrum.Frontal Lobe.Subcallosal Gyrus.White Matter.*
291,Right Cerebrum.Frontal Lobe.Subcallosal Gyrus.White Matter.*
292,Right Cerebrum.Temporal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 13
293,Right Cerebrum.Temporal Lobe.Inferior Frontal Gyrus.White Matter.*
294,Left Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 13
295,Right Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 13
296,Left Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 13
297,Right Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 13
298,Left Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 47
299,Right Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 47
300,Left Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 11
301,Right Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 11
302,Right Cerebrum.Frontal Lobe.Middle Frontal Gyrus.Gray Matter.Brodmann area 47
303,Left Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.Gray Matter.Brodmann area 17
304,Right Cerebrum.*.*.Gray Matter.Brodmann area 18
305,Right Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.Gray Matter.Brodmann area 17
306,Left Cerebrum.Occipital Lobe.Middle Occipital Gyrus.Gray Matter.Brodmann area 18
307,Right Cerebrum.Occipital Lobe.Middle Occipital Gyrus.Gray Matter.Brodmann area 18
308,Left Cerebrum.Occipital Lobe.Middle Occipital Gyrus.White Matter.*
309,Right Cerebrum.Occipital Lobe.Middle Occipital Gyrus.White Matter.*
310,Left Cerebrum.Occipital Lobe.Middle Occipital Gyrus.*.*
311,Right Cerebrum.Occipital Lobe.Middle Occipital Gyrus.*.*
312,Left Cerebrum.Occipital Lobe.Sub-Gyral.*.*
313,Right Cerebrum.*.Sub-Gyral.*.*
314,Right Cerebrum.Occipital Lobe.Sub-Gyral.*.*
315,Left Cerebrum.Occipital Lobe.Middle Occipital Gyrus.Gray Matter.Brodmann area 19
316,Right Cerebrum.Occipital Lobe.Middle Occipital Gyrus.Gray Matter.Brodmann area 19
317,*.*.Middle Occipital Gyrus.*.*
318,Right Cerebrum.*.Lingual Gyrus.*.*
319,Left Cerebrum.Occipital Lobe.Sub-Gyral.White Matter.*
320,Right Cerebrum.Occipital Lobe.Sub-Gyral.White Matter.*
321,Left Cerebellum.Anterior Lobe.Culmen of Vermis.Gray Matter.*
322,Right Cerebellum.Anterior Lobe.Culmen of Vermis.Gray Matter.*
323,Left Cerebrum.Occipital Lobe.Middle Occipital Gyrus.Gray Matter.Brodmann area 37
324,Right Cerebrum.Occipital Lobe.Middle Occipital Gyrus.Gray Matter.Brodmann area 37
325,Right Cerebrum.Occipital Lobe.Inferior Temporal Gyrus.*.*
326,Left Cerebrum.Occipital Lobe.Inferior Temporal Gyrus.White Matter.*
327,Right Cerebrum.Occipital Lobe.Inferior Temporal Gyrus.White Matter.*
328,Right Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 37
329,Left Cerebrum.Occipital Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 37
330,Right Cerebrum.Occipital Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 37
331,Right Cerebrum.Occipital Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 37
332,Left Cerebrum.Temporal Lobe.Sub-Gyral.Gray Matter.Brodmann area 37
333,Right Cerebrum.Temporal Lobe.Sub-Gyral.Gray Matter.Brodmann area 37
334,Right Cerebrum.Limbic Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 37
335,Right Cerebrum.Limbic Lobe.Sub-Gyral.*.*
336,Left Cerebrum.Limbic Lobe.Sub-Gyral.*.*
337,Left Cerebrum.Temporal Lobe.Sub-Gyral.Gray Matter.Hippocampus
338,Right Cerebrum.Temporal Lobe.Sub-Gyral.Gray Matter.Hippocampus
339,Left Cerebrum.Limbic Lobe.Sub-Gyral.Gray Matter.Hippocampus
340,Right Cerebrum.Limbic Lobe.Sub-Gyral.Gray Matter.Hippocampus
341,Left Brainstem.Midbrain.*.Gray Matter.Substania Nigra
342,Right Brainstem.Midbrain.*.Gray Matter.Substania Nigra
343,Left Brainstem.Midbrain.*.Gray Matter.Red Nucleus
344,Right Brainstem.Midbrain.*.Gray Matter.Red Nucleus
345,Left Cerebrum.Limbic Lobe.Sub-Gyral.Gray Matter.Brodmann area 28
346,Right Cerebrum.Limbic Lobe.*.White Matter.*
347,Left Cerebrum.Sub-lobar.Extra-Nuclear.White Matter.*
348,Right Cerebrum.Sub-lobar.Extra-Nuclear.White Matter.*
349,Left Cerebrum.Temporal Lobe.*.Gray Matter.Caudate Tail
